İstanbul,583
Bursa,551
Konya,178
İzmir,161
Kırıkkale,137
Mersin,132
Kocaeli,122
Eskişehir,121
Denizli,117
Kütahya,114
Gaziantep,106
Kayseri,94
Adana,93
Şanlıurfa,88
Adıyaman,85
Aksaray,81
Osmaniye,72
Bilecik,71
Yozgat,68
Erzurum,68
Kahramanmaraş,67
Sivas,66
Nevşehir,65
Çanakkale,63
Sakarya,56
Aydın,53
Manisa,45
Tokat,43
Karaman,43
Samsun,42
Antalya,41
Çankırı,38
Kastamonu,38
Niğde,36
Erzincan,35
Yalova,35
Edirne,35
Gümüşhane,34
Kilis,34
Çorum,34
Düzce,34
Elazığ,33
Karabük,33
Balıkesir,32
Zonguldak,32
Rize,32
Kars,31
Trabzon,29
Ağrı,28
Hatay,27
Kırşehir,23
Kırklareli,21
Uşak,21
Bartın,20
Bolu,19
Giresun,18
Afyonkarahisar,17
Amasya,15
Iğdır,14
Malatya,14
Isparta,12
Muş,12
Bayburt,11
Ordu,11
Artvin,11
Ardahan,9
Mardin,9
Burdur,8
Siirt,7
Muğla,6
Sinop,6
Batman,5
Tekirdağ,5
Şırnak,5
Hakkari,3
Bingöl,3
Bitlis,2
