Yıl,İl,Toplam Nüfus,Erkek Nüfusu,Kadın Nüfusu,Nüfus Yüzdesi
2016,İstanbul,14.804.116,7.424.390,7.379.726,% 18.55
2016,Ankara,5.346.518,2.653.431,2.693.087,% 6.70
2016,İzmir,4.223.545,2.104.632,2.118.913,% 5.29
2016,Bursa,2.901.396,1.454.059,1.447.337,% 3.64
2016,Antalya,2.328.555,1.174.936,1.153.619,% 2.92
2016,Adana,2.201.670,1.101.340,1.100.330,% 2.76
2016,Konya,2.161.303,1.073.631,1.087.672,% 2.71
2016,Gaziantep,1.974.244,998.926,975.318,% 2.47
2016,Şanlıurfa,1.940.627,976.938,963.689,% 2.43
2016,Kocaeli,1.830.772,927.157,903.615,% 2.29
2016,Mersin,1.773.852,885.583,888.269,% 2.22
2016,Diyarbakır,1.673.119,844.011,829.108,% 2.10
2016,Hatay,1.555.165,780.854,774.311,% 1.95
2016,Manisa,1.396.945,701.094,695.851,% 1.75
2016,Kayseri,1.358.980,681.269,677.711,% 1.70
2016,Samsun,1.295.927,640.699,655.228,% 1.62
2016,Balıkesir,1.196.176,596.896,599.280,% 1.50
2016,Kahramanmaraş,1.112.634,565.816,546.818,% 1.39
2016,Van,1.100.190,561.592,538.598,% 1.38
2016,Aydın,1.068.260,533.004,535.256,% 1.34
2016,Denizli,1.005.687,500.398,505.289,% 1.26
2016,Sakarya,976.948,490.935,486.013,% 1.22
2016,Tekirdağ,972.875,499.819,473.056,% 1.22
2016,Muğla,923.773,470.404,453.369,% 1.16
2016,Eskişehir,844.842,421.580,423.262,% 1.06
2016,Mardin,796.237,400.475,395.762,% 1.00
2016,Malatya,781.305,389.572,391.733,% 0.98
2016,Trabzon,779.379,385.009,394.370,% 0.98
2016,Erzurum,762.021,381.138,380.883,% 0.95
2016,Ordu,750.588,376.243,374.345,% 0.94
2016,Afyonkarahisar,714.523,354.458,360.065,% 0.90
2016,Sivas,621.224,309.364,311.860,% 0.78
2016,Adıyaman,610.484,307.662,302.822,% 0.76
2016,Tokat,602.662,299.262,303.400,% 0.76
2016,Zonguldak,597.524,295.033,302.491,% 0.75
2016,Elazığ,578.789,287.991,290.798,% 0.73
2016,Batman,576.899,290.479,286.420,% 0.72
2016,Kütahya,573.642,283.955,289.687,% 0.72
2016,Ağrı,542.255,281.389,260.866,% 0.68
2016,Çorum,527.863,261.606,266.257,% 0.66
2016,Osmaniye,522.175,264.257,257.918,% 0.65
2016,Çanakkale,519.793,262.288,257.505,% 0.65
2016,Şırnak,483.788,251.392,232.396,% 0.61
2016,Giresun,444.467,220.414,224.053,% 0.56
2016,Isparta,427.324,212.720,214.604,% 0.54
2016,Yozgat,421.041,210.600,210.441,% 0.53
2016,Muş,406.501,207.190,199.311,% 0.51
2016,Edirne,401.701,203.738,197.963,% 0.50
2016,Aksaray,396.673,197.362,199.311,% 0.50
2016,Kastamonu,376.945,188.039,188.906,% 0.47
2016,Düzce,370.371,185.775,184.596,% 0.46
2016,Uşak,358.736,179.259,179.477,% 0.45
2016,Kırklareli,351.684,179.122,172.562,% 0.44
2016,Niğde,351.468,175.571,175.897,% 0.44
2016,Bitlis,341.225,177.088,164.137,% 0.43
2016,Rize,331.048,164.727,166.321,% 0.41
2016,Amasya,326.351,161.555,164.796,% 0.41
2016,Siirt,322.664,166.463,156.201,% 0.40
2016,Bolu,299.896,148.481,151.415,% 0.38
2016,Nevşehir,290.895,143.698,147.197,% 0.36
2016,Kars,289.786,150.515,139.271,% 0.36
2016,Kırıkkale,277.984,140.085,137.899,% 0.35
2016,Bingöl,269.560,137.588,131.972,% 0.34
2016,Hakkari,267.813,142.486,125.327,% 0.34
2016,Burdur,261.401,130.082,131.319,% 0.33
2016,Karaman,245.610,122.153,123.457,% 0.31
2016,Karabük,242.347,122.106,120.241,% 0.30
2016,Yalova,241.665,120.605,121.060,% 0.30
2016,Kırşehir,229.975,114.815,115.160,% 0.29
2016,Erzincan,226.032,114.075,111.957,% 0.28
2016,Bilecik,218.297,114.189,104.108,% 0.27
2016,Sinop,205.478,101.909,103.569,% 0.26
2016,Iğdır,192.785,99.057,93.728,% 0.24
2016,Bartın,192.389,95.131,97.258,% 0.24
2016,Çankırı,183.880,91.874,92.006,% 0.23
2016,Gümüşhane,172.034,87.564,84.470,% 0.22
2016,Artvin,168.068,84.597,83.471,% 0.21
2016,Kilis,130.825,65.824,65.001,% 0.16
2016,Ardahan,98.335,50.884,47.451,% 0.12
2016,Bayburt,90.154,46.182,43.972,% 0.11
2016,Tunceli,82.193,45.160,37.033,% 0.10
